;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;0,55;0,5625;0,65;0,5875;0,4125;0,45;0,375;0,2875;0,3875;0,4625;0,425;0,4;0,5875;0,15;0,2125;0,15;0,2125
Басманный ;0,55;0,575;0,65;0,575;0,4125;0,45;0,425;0,275;0,45;0,5125;0,4625;0,45;0,575;0,1625;0,2875;0,175;0,225
Даниловский ;0,5;0,525;0,575;0,525;0,3875;0,4;0,375;0,225;0,375;0,425;0,375;0,35;0,5375;0,1625;0,2125;0,175;0,225
Донской ;0,5625;0,55;0,6;0,5875;0,375;0,3875;0,3625;0,275;0,3625;0,4375;0,3875;0,3625;0,5375;0,1625;0,2375;0,175;0,225
Дорогомилово;0,5;0,5375;0,5875;0,5625;0,375;0,4125;0,3875;0,3125;0,375;0,425;0,375;0,35;0,55;0,1625;0,2125;0,175;0,225
Замоскворечье;0,5125;0,525;0,4625;0,5375;0,325;0,4625;0,4375;0,35;0,3875;0,4375;0,3875;0,3875;0,5375;0,175;0,225;0,175;0,225
Лефортово;0,5;0,5625;0,6;0,5625;0,3875;0,4;0,375;0,3;0,375;0,425;0,375;0,35;0,5875;0,1625;0,2125;0,175;0,225
Нижегородский ;0,4625;0,5125;0,5625;0,55;0,3625;0,3875;0,3625;0,2125;0,35;0,3875;0,3375;0,325;0,475;0,1625;0,2125;0,175;0,225
Пресненский ;0,6625;0,6875;0,75;0,675;0,4375;0,4875;0,4625;0,3625;0,5375;0,6375;0,6;0,575;0,8;0,1625;0,325;0,175;0,225
Таганский ;0,5875;0,6125;0,6875;0,6;0,4125;0,4625;0,4375;0,2875;0,4875;0,575;0,55;0,525;0,675;0,1625;0,3125;0,175;0,2125
Тверской ;0,5625;0,6;0,675;0,6125;0,4;0,475;0,3875;0,2875;0,4125;0,475;0,4375;0,425;0,65;0,1625;0,2125;0,175;0,2125
Хамовники;0,4375;0,475;0,525;0,4875;0,3625;0,3625;0,3375;0,2875;0,3625;0,3625;0,3125;0,2875;0,475;0,1625;0,175;0,175;0,225
Южнопортовый ;0,45;0,4875;0,5375;0,5125;0,375;0,3625;0,3375;0,2;0,35;0,375;0,325;0,3125;0,4625;0,1625;0,2;0,175;0,225
Якиманка;0,55;0,575;0,6375;0,5875;0,4125;0,4125;0,4;0,2375;0,375;0,45;0,4125;0,3875;0,575;0,15;0,225;0,15;0,2125
