;;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;4710;0,7;0,6;0,8;0,5;0,1;0,8;0,8;0,9;0,6;0,7;0,7;0,7;0,8;0,2;0,2;0,2;0,1
Басманный ;4464;0,6;0,5;0,7;0,4;0,1;0,7;0,7;0,8;0,5;0,5;0,5;0,5;0,6;0,2;0,2;0,2;0,1
Даниловский ;3389;0,4;0,3;0,3;0,2;0,1;0,3;0,3;0,4;0,3;0,3;0,3;0,3;0,5;0,2;0,2;0,2;0,1
Донской ;2185;0,2;0,1;0,1;0,2;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,1
Дорогомилово;3421;0,5;0,4;0,4;0,3;0,1;0,4;0,4;0,5;0,4;0,4;0,4;0,4;0,5;0,2;0,2;0,2;0,1
Замоскворечье;4092;0,6;0,5;0,7;0,4;0,1;0,7;0,7;0,8;0,5;0,5;0,5;0,5;0,5;0,2;0,2;0,2;0,1
Лефортово;3201;0,4;0,3;0,3;0,2;0,1;0,3;0,3;0,4;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,1
Нижегородский ;2380;0,3;0,2;0,2;0,3;0,1;0,2;0,2;0,3;0,2;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,1
Пресненский ;6419;0,9;0,8;0,9;0,7;0,1;0,9;0,9;0,9;0,8;0,9;0,9;0,9;0,9;0,2;0,2;0,2;0,1
Таганский ;4725;0,7;0,6;0,8;0,5;0,1;0,8;0,8;0,9;0,6;0,7;0,7;0,7;0,8;0,2;0,2;0,2;0,1
Тверской ;5003;0,8;0,7;0,9;0,6;0,1;0,9;0,9;0,9;0,7;0,8;0,8;0,9;0,9;0,2;0,2;0,2;0,1
Хамовники;3725;0,5;0,4;0,4;0,3;0,1;0,4;0,4;0,5;0,4;0,4;0,4;0,4;0,5;0,2;0,2;0,2;0,1
Южнопортовый ;2227;0,3;0,2;0,2;0,3;0,1;0,2;0,2;0,3;0,2;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,1
Якиманка;3780;0,5;0,4;0,4;0,3;0,1;0,4;0,4;0,5;0,4;0,4;0,4;0,4;0,5;0,2;0,2;0,2;0,1
