;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;0,7;0,7;0,6;0,8;0,8;0,1;0,1;0,1;0,7;0,7;0,4;0,3;0,7;0,2;0,1;0,3;0,8
Басманный ;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Даниловский ;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Донской ;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Дорогомилово;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Замоскворечье;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Лефортово;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Нижегородский ;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Пресненский ;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,8;0,2;0,1;0,3;0,9
Таганский ;0,7;0,7;0,6;0,8;0,8;0,1;0,1;0,1;0,7;0,7;0,4;0,3;0,8;0,2;0,1;0,3;0,8
Тверской ;0,7;0,7;0,6;0,8;0,8;0,1;0,1;0,1;0,7;0,7;0,4;0,3;0,8;0,2;0,1;0,3;0,8
Хамовники;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Южнопортовый ;0,8;0,8;0,7;0,9;0,9;0,1;0,1;0,1;0,8;0,8;0,4;0,3;0,6;0,2;0,1;0,3;0,9
Якиманка;0,7;0,7;0,6;0,8;0,8;0,1;0,1;0,1;0,7;0,7;0,4;0,3;0,7;0,2;0,1;0,3;0,8
