;;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;73728,5;0,6;0,6;0,7;0,5;0,1;0,7;0,6;0,3;0,2;0,6;0,6;0,7;0,7;0,2;0,7;0,1;0,1
Басманный ;58587,8;0,5;0,5;0,6;0,4;0,1;0,7;0,6;0,3;0,2;0,5;0,5;0,6;0,6;0,2;0,6;0,1;0,1
Даниловский ;63091,3;0,5;0,5;0,6;0,4;0,1;0,7;0,6;0,3;0,2;0,5;0,5;0,6;0,6;0,2;0,6;0,1;0,1
Донской ;68308;0,7;0,7;0,8;0,6;0,1;0,8;0,7;0,3;0,2;0,7;0,7;0,8;0,8;0,2;0,8;0,1;0,1
Дорогомилово;58354,8;0,5;0,5;0,6;0,4;0,1;0,7;0,6;0,3;0,2;0,5;0,5;0,6;0,6;0,2;0,6;0,1;0,1
Замоскворечье;82994;0,7;0,7;0,8;0,6;0,1;0,8;0,7;0,3;0,2;0,7;0,7;0,8;0,8;0,2;0,8;0,1;0,1
Лефортово;50508;0,5;0,5;0,6;0,4;0,1;0,7;0,6;0,3;0,2;0,5;0,5;0,6;0,6;0,2;0,6;0,1;0,1
Нижегородский ;63174,8;0,5;0,5;0,6;0,4;0,1;0,7;0,6;0,3;0,2;0,5;0,5;0,6;0,6;0,2;0,6;0,1;0,1
Пресненский ;89451,9;0,7;0,7;0,8;0,6;0,1;0,8;0,7;0,3;0,2;0,7;0,7;0,8;0,8;0,2;0,8;0,1;0,1
Таганский ;74214,6;0,6;0,6;0,7;0,5;0,1;0,7;0,6;0,3;0,2;0,6;0,6;0,7;0,7;0,2;0,7;0,1;0,1
Тверской ;55376,2;0,5;0,5;0,6;0,4;0,1;0,7;0,6;0,3;0,2;0,5;0,5;0,6;0,6;0,2;0,6;0,1;0,1
Хамовники;67155,3;0,3;0,3;0,4;0,2;0,1;0,5;0,4;0,3;0,2;0,3;0,3;0,4;0,4;0,2;0,4;0,1;0,1
Южнопортовый ;49621,5;0,4;0,4;0,5;0,3;0,1;0,6;0,5;0,3;0,2;0,4;0,4;0,5;0,5;0,2;0,5;0,1;0,1
Якиманка;102063,1;0,7;0,7;0,8;0,6;0,1;0,8;0,7;0,3;0,2;0,7;0,7;0,8;0,8;0,2;0,8;0,1;0,1
