;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
;100;60;100;4;1;60;60;30;30;30;30;60;100;2;2;2;1
Арбат;0,6;0,5;0,6;0,4;0;0,7;0,7;0,5;0,5;0,6;0,6;0,7;0,7;0,1;0,1;0,1;0
Басманный ;0,5;0,5;0,6;0,4;0;0,7;0,7;0,5;0,4;0,5;0,5;0,6;0,6;0,1;0,1;0,1;0
Даниловский ;0,5;0,5;0,6;0,4;0;0,7;0,7;0,5;0,4;0,5;0,5;0,6;0,6;0,1;0,1;0,1;0
Донской ;0,7;0,6;0,7;0,5;0;0,7;0,7;0,5;0,6;0,7;0,7;0,8;0,8;0,1;0,1;0,1;0
Дорогомилово;0,5;0,5;0,6;0,4;0;0,7;0,7;0,5;0,4;0,5;0,5;0,6;0,6;0,1;0,1;0,1;0
Замоскворечье;0,7;0,6;0,7;0,5;0;0,7;0,7;0,5;0,6;0,7;0,7;0,8;0,8;0,1;0,1;0,1;0
Лефортово;0,5;0,5;0,6;0,4;0;0,7;0,7;0,5;0,4;0,5;0,5;0,6;0,6;0,1;0,1;0,1;0
Нижегородский ;0,5;0,5;0,6;0,4;0;0,7;0,7;0,5;0,4;0,5;0,5;0,6;0,6;0,1;0,1;0,1;0
Пресненский ;0,7;0,6;0,7;0,5;0;0,7;0,7;0,5;0,6;0,7;0,7;0,8;0,8;0,1;0,1;0,1;0
Таганский ;0,6;0,5;0,6;0,4;0;0,7;0,7;0,5;0,5;0,6;0,6;0,7;0,7;0,1;0,1;0,1;0
Тверской ;0,5;0,5;0,6;0,4;0;0,7;0,7;0,5;0,4;0,5;0,5;0,6;0,6;0,1;0,1;0,1;0
Хамовники;0,3;0,3;0,4;0,3;0;0,5;0,5;0,3;0,2;0,3;0,3;0,4;0,4;0,1;0,1;0,1;0
Южнопортовый ;0,4;0,4;0,5;0,3;0;0,6;0,6;0,4;0,3;0,4;0,4;0,5;0,5;0,1;0,1;0,1;0
Якиманка;0,7;0,6;0,7;0,5;0;0,7;0,7;0,5;0,6;0,7;0,7;0,8;0,8;0,1;0,1;0,1;0
