;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;0,7;0,8;0,8;0,8;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,8;0,1;0,1;0,1;0,2
Басманный ;0,7;0,7;0,8;0,8;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,1;0,1;0,2
Даниловский ;0,5;0,5;0,6;0,6;0,5;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,5;0,1;0,1;0,1;0,2
Донской ;0,6;0,7;0,8;0,8;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,1;0,1;0,2
Дорогомилово;0,6;0,7;0,8;0,8;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,1;0,1;0,2
Замоскворечье;0,2;0,2;0,2;0,2;0,2;0,4;0,2;0,1;0,2;0,1;0,1;0,1;0,2;0,2;0,1;0,1;0,2
Лефортово;0,5;0,6;0,7;0,7;0,5;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,6;0,1;0,1;0,1;0,2
Нижегородский ;0,5;0,6;0,7;0,7;0,5;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,6;0,1;0,1;0,1;0,2
Пресненский ;0,7;0,8;0,9;0,9;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,8;0,1;0,1;0,1;0,2
Таганский ;0,6;0,7;0,8;0,8;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,1;0,1;0,2
Тверской ;0,7;0,8;0,9;0,9;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,8;0,1;0,1;0,1;0,2
Хамовники;0,3;0,4;0,5;0,5;0,3;0,4;0,2;0,1;0,3;0,1;0,1;0,1;0,4;0,1;0,1;0,1;0,2
Южнопортовый ;0,4;0,5;0,6;0,6;0,4;0,4;0,2;0,1;0,3;0,2;0,2;0,2;0,5;0,1;0,1;0,1;0,2
Якиманка;0,7;0,8;0,8;0,8;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,8;0,1;0,1;0,1;0,2
