;работоспособ;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;7806;0,4;0,6;0,8;0,6;0,9;0,3;0,2;0,1;0,3;0,3;0,3;0,3;0,3;0,1;0,2;0,2;0,2
Басманный ;42285;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,5;0,5;0,5;0,5;0,7;0,2;0,3;0,4;0,2
Даниловский ;36840;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,5;0,5;0,5;0,5;0,7;0,2;0,3;0,4;0,2
Донской ;19249;0,4;0,6;0,7;0,6;0,6;0,4;0,2;0,1;0,4;0,4;0,4;0,4;0,6;0,2;0,3;0,4;0,2
Дорогомилово;19478;0,4;0,6;0,7;0,6;0,6;0,4;0,2;0,1;0,4;0,4;0,4;0,4;0,6;0,2;0,3;0,4;0,2
Замоскворечье;19770;0,4;0,6;0,2;0,6;0,6;0,4;0,2;0,1;0,4;0,4;0,4;0,4;0,6;0,2;0,3;0,4;0,2
Лефортово;33963;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,5;0,5;0,5;0,5;0,7;0,2;0,3;0,4;0,2
Нижегородский ;19056;0,4;0,6;0,7;0,6;0,6;0,4;0,2;0,1;0,4;0,4;0,4;0,4;0,6;0,2;0,3;0,4;0,2
Пресненский ;51796;0,6;0,8;0,9;0,6;0,8;0,4;0,2;0,1;0,6;0,6;0,8;0,6;0,8;0,2;0,3;0,4;0,2
Таганский ;51967;0,6;0,8;0,9;0,6;0,8;0,4;0,2;0,1;0,6;0,6;0,8;0,6;0,8;0,2;0,3;0,4;0,2
Тверской ;27638;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,5;0,5;0,5;0,5;0,7;0,2;0,3;0,4;0,2
Хамовники;28492;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,5;0,5;0,5;0,5;0,7;0,2;0,3;0,4;0,2
Южнопортовый ;34409;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,5;0,5;0,5;0,5;0,7;0,2;0,3;0,4;0,2
Якиманка;7994;0,4;0,6;0,8;0,6;0,9;0,3;0,2;0,1;0,3;0,3;0,3;0,3;0,3;0,1;0,2;0,2;0,2
