"NAME,C,254","OKATO_NAME,C,254","OKTMO_NAME,C,254"
נ׳׀ַנֱ׀אנ¥נ?נ¥-נש׀גנֱנ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ׳׀ַנֱ׀אנ¥נ?נ¥-נש׀גנֱנ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ׳׀ַנֱ׀אנ¥נ?נ¥-נש׀גנֱנ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ£נ¥נ?נ¥נ?׀זנֲנ¢׀ןנ?,נ£נ¥נ?נ¥נ?נֱנֲנ¢׀ןנ?,נƒנ¥׀üנֱנ?נ¥נ? נ£נ¥נ?נ¥נ?נֱנֲנ¢׀ןנ? (נשנֹנףנ׳)
נƒנ?נ?נ?נ¥נ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נƒנ?נ?נ?נ¥נ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נƒנ?נ?נ?נ¥נ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נÜנ¥נ?נ¥נ?נֱנ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜנ¥נ?נ¥נ?נֱנ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜנ¥נ?נ¥נ?נֱנ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נÜנ?׀ךנ©׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜנ?׀ךנ©׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜנ?׀ךנ©׀ַ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נƒנ¥נ?נ¥נ?׀מ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נƒנ¥נ?נ¥נ?׀מ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נƒנ¥נ?נ¥נ?׀מ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ÷נֱ׀אנ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ÷נֱ׀אנ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ÷נֱ׀אנ¥נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נםנ¥נ?נ¢נֱ׀חנ¢נ¥נ?נ¥׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנ¥נ?נ¢נֱ׀חנ¢נ¥נ?נ¥׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנ¥נ?נ¢נֱ׀חנ¢נ¥נ?נ¥׀ַ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נבנ?נ?נֱנ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נבנ?נ?נֱנ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נבנ?נ?נֱנ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ¿נ?׀י׀ג׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ¿נ?׀י׀ג׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ¿נ?׀י׀ג׀ַ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
