X,Y,NAME,OKATO_NAME,OKTMO_NAME
4358312.98066984,7457366.96601651,Орехово-Зуевский район,Орехово-Зуевский район,Орехово-Зуевский муниципальный район
4096942.776886,7390826.14466202,Молодёжный,Молодежный,Поселок Молодежный (ЗАТО)
4304318.94368761,7483018.90744336,Павлово-Посадский район,Павлово-Посадский район,Павлово-Посадский муниципальный район
4335293.95365909,7345998.66199443,Коломенский район,Коломенский район,Коломенский муниципальный район
4258882.60708314,7278934.4646332,Каширский район,Каширский район,Каширский муниципальный район
4175210.04856656,7402850.67697847,Подольский район,Подольский район,Подольский муниципальный район
4161927.91387383,7357097.96814139,Чеховский район,Чеховский район,Чеховский муниципальный район
4118310.19450191,7547635.55279459,Солнечногорский район,Солнечногорский район,Солнечногорский муниципальный район
4248314.75453703,7419271.32709441,Раменский район,Раменский район,Раменский муниципальный район
4439124.82457959,7409856.92477857,Шатурский район,Шатурский район,Шатурский муниципальный район
4259843.299601,7557668.49045914,городской округ Красноармейск,Красноармейск,Город Красноармейск
4168701.46195058,7509811.88360735,городской округ Химки,Химки,Город Химки
4139882.61533485,7460143.87668341,Власиха,Власиха,Власиха (ЗАТО)
4213016.10393299,7505688.97274125,городской округ Королёв,Королев,Город Королев
4179441.25073371,7398153.64889074,Климовск,Климовск,Город Климовск
4104830.85140916,7467617.38822841,городской округ Звенигород,Звенигород,Город Звенигород
4297955.52316426,7222543.35221901,Серебряно-Прудский район,Серебряно-Прудский район,Серебряно-Прудский муниципальный район
4307902.42272622,7402923.55543729,Воскресенский район,Воскресенский район,Воскресенский муниципальный район
4236237.41637656,7337180.69116716,Ступинский район,Ступинский район,Ступинский муниципальный район
4274118.93767094,7530251.07407093,городской округ Черноголовка,Ногинский район,Город Черноголовка
4188727.50836953,7306005.07214222,Серпуховский район,Серпуховский район,Серпуховский муниципальный район
4224914.84489304,7480982.54728729,городской округ Балашиха,Балашихинский район,Город Балашиха
3984825.94333049,7429086.17184883,Можайский район,Можайский район,Можайский муниципальный район
3946168.94857782,7523211.33317923,Шаховской район,Шаховской район,Шаховской муниципальный район
3983597.19229184,7582129.70563784,Лотошинский район,Лотошинский район,Лотошинский муниципальный район
4095582.24945661,7511795.81422733,Истринский район,Истринский район,Истринский муниципальный район
4066850.00238521,7589454.75221128,Клинский район,Клинский район,Клинский муниципальный район
4112573.48216664,7455300.56391001,Одинцовский район,Одинцовский район,Одинцовский муниципальный район
4146650.83881619,7487802.15812446,Красногорский район,Красногорский район,Красногорский муниципальный район
4203828.37493655,7434925.1216033,Ленинский район,Ленинский район,Ленинский муниципальный район
4191623.65641731,7525094.52088536,Мытищинский район,Мытищинский район,Мытищинский муниципальный район
4190444.6454185,7669817.97350258,Талдомский район,Талдомский район,Талдомский муниципальный район
4238665.22926104,7619407.32389922,Сергиево-Посадский район,Сергиево-Посадский район,Сергиево-Посадский муниципальный район
4326648.91799784,7278122.53930874,Зарайский район,Зарайский район,Зарайский муниципальный район
4213230.39625094,7389957.20381193,городской округ Домодедово,Домодедовский район,Город Домодедово
4056835.76250909,7401063.98749377,Наро-Фоминский район,Наро-Фоминский район,Наро-Фоминский муниципальный район
4182311.178548,7412318.65214145,городской округ Подольск,Подольск,Город Подольск
4165206.46235047,7596290.63432411,Дмитровский район,Дмитровский район,Дмитровский муниципальный район
4293622.29604689,7304175.94515251,Озёрский район,Озерский район,Озерский муниципальный район
4363560.50789812,7378099.36608398,Егорьевский район,Егорьевский район,Егорьевский муниципальный район
4278445.2857508,7498725.96302556,Ногинский район,Ногинский район,Ногинский муниципальный район
4227211.91141409,7452527.73225072,Люберецкий район,Люберецкий район,Люберецкий муниципальный район
4437813.38155897,7455844.12544159,городской округ Рошаль,Рошаль,Город Рошаль
4355015.12675955,7311693.58522653,Луховицкий район,Луховицкий район,Луховицкий муниципальный район
4245324.25112062,7527321.29295227,Щёлковский район,Щелковский район,Щелковский муниципальный район
4219091.59713187,7540177.70600268,Пушкинский район,Пушкинский район,Пушкинский муниципальный район
4038928.82077246,7463297.32364072,Рузский район,Рузский район,Рузский муниципальный район
4007785.06817586,7525317.09635321,Волоколамский район,Волоколамский район,Волоколамский муниципальный район
4319508.36836845,7499433.69386382,городской округ Электрогорск,Павлово-Посадский район,Город Электрогорск
4059292.37050337,7513166.46641483,Восход,Восход,Поселок Восход (ЗАТО)
4212912.49400022,7510196.37021377,городской округ Юбилейный,Юбилейный,Город Юбилейный
4280112.9108529,7480856.09538316,городской округ Электросталь,Электросталь,Город Электросталь
4219274.12685958,7439614.32484773,городской округ Лыткарино,Лыткарино,Город Лыткарино
4170164.35344458,7529676.0754515,городской округ Лобня,Лобня,Город Лобня
4221334.75235072,7517864.76251543,городской округ Ивантеевка,Ивантеевка,Город Ивантеевка
4212145.96207388,7448345.32148508,городской округ Дзержинский,Дзержинский,Город Дзержинский
4258430.53329447,7408160.13806608,Бронницы городской округ,Бронницы,Город Бронницы
4242865.54858913,7498609.85112152,Звёздный городок,Звездный городок,Звездный городок (ЗАТО)
4175001.93068008,7512388.82373767,городской округ Долгопрудный,Долгопрудный,Город Долгопрудный
4142749.30020253,7303716.92037387,городской округ Протвино,Протвино,Город Протвино
4340020.95399536,7486340.08132776,городской округ Орехово-Зуево,Орехово-Зуево,Город Орехово-Зуево
4215184.42633381,7455634.60279372,городской округ Котельники,Котельники,Котельники
4234704.40397411,7514820.16091588,городской округ Фрязино,Фрязино,Город Фрязино
4243142.98105802,7437852.80694672,Жуковский городской округ,Жуковский,Город Жуковский
4252331.97091005,7497568.13831713,городской округ Лосино-Петровский,Щелковский район,Город Лосино-Петровский
