139766 ,Паб  «ШемроК» ,нет ,бар , "город  Москва ,  Балаклавский  проспект ,  дом  54 " ,30
59265 ,Кафе-бар  Альбом ,нет ,кафе , "город  Москва ,  Новая  Басманная  улица ,  дом  12 ,  строение  2 " ,80
20344 ,Кафе  Бар  Бульвар ,нет ,бар , "город  Москва ,  Бескудниковский  бульвар ,  дом  40 ,  корпус  3 " ,60
28501 ,Авлабар ,нет ,ресторан , "город  Москва ,  Велозаводская  улица ,  дом  6 " ,40
19761 ,Бар  «Фитнес-бар» ,нет ,бар , "город  Москва ,  проспект  Вернадского ,  дом  103 ,  корпус  1 " ,24
20632 ,БАР  В  ФИТНЕС  КЛУБЕ ,нет ,бар , "город  Москва ,  Глазовский  переулок ,  дом  5 " ,4
23185 ,Кафе-бар  «Караоке  MyzOn» ,нет ,кафе , "город  Москва ,  Вешняковская  улица ,  дом  2 " ,32
156659 ,Loft  17 ,нет ,бар , "город  Москва ,  Волгоградский  проспект ,  дом  17 " ,55
71163 ,Английский  паб  Букингем ,нет ,бар , "город  Москва ,  Волоколамское  шоссе ,  дом  15/22 " ,45
89471 ,Клуб  «Высотка» ,нет ,бар , "город  Москва ,  Кудринская  площадь ,  дом  1 " ,80
120427 ,Craft  RePUBlic ,нет ,бар , "город  Москва ,  Малый  Гнездниковский  переулок ,  дом  9 ,  строение  7 " ,38
133843 ,Голову  с  плеч ,нет ,бар , "город  Москва ,  Тверская  улица ,  дом  12 ,  строение  1 " ,20
142195 ,Howards  Loves  Craft ,нет ,бар , "город  Москва ,  Тверская  улица ,  дом  15 " ,35
150446 ,Мохнатый  шмель ,нет ,бар , "город  Москва ,  Даев  переулок ,  дом  2 " ,36
70535 ,Бильярдный  клуб  «Лига» ,нет ,бар , "город  Москва ,  улица  Мусы  Джалиля ,  дом  4 ,  корпус  6 " ,50
20488 ,ДЕЙЛИН ,нет ,бар , "город  Москва ,  Дмитровское  шоссе ,  дом  48 ,  корпус  1 " ,20
20524 ,Юнона ,нет ,бар , "город  Москва ,  Дубосековская  улица ,  дом  7 " ,30
150927 ,Пенная  галерея ,нет ,бар , "город  Москва ,  Зелёный  проспект ,  дом  6 ,  корпус  2 " ,20
20602 ,Россо  энд  Бьянко ,нет ,бар , "город  Москва ,  Долгоруковская  улица ,  дом  5 " ,32
24570 ,Бар  и  бильярд  «Стопка» ,нет ,бар , "город  Москва ,  Кантемировская  улица ,  дом  17 ,  корпус  1 " ,20
156563 ,Beer  Gik ,нет ,бар , "город  Москва ,  Мясницкая  улица ,  дом  22 ,  строение  1 " ,10
150572 ,Пробка  Гриль ,нет ,бар , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  1 " ,120
154627 ,TEMPO  DI  PASTA ,нет ,бар , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  1 " ,90
20733 ,ПИВНОЙ  БАР  ЭЛЕФАНТ ,нет ,бар , "город  Москва ,  2-й  Колобовский  переулок ,  дом  12 " ,55
26519 ,Киноклуб  Фитиль ,нет ,бар , "город  Москва ,  Фрунзенская  набережная ,  дом  12 " ,52
20631 ,La  SPEZIA ,нет ,бар , "город  Москва ,  Комсомольский  проспект ,  дом  30 " ,50
24415 ,Спортбар  №1 ,нет ,кафе , "город  Москва ,  улица  Костякова ,  дом  6/5 " ,40
154375 ,Кафе  «Пицца  бар» ,нет ,кафе , "город  Москва ,  улица  Красная  Пресня ,  дом  29 " ,25
156481 ,Бар  «PivBar» ,нет ,бар , "город  Москва ,  улица  Красная  Пресня ,  дом  29 " ,40
153448 ,Макс  бар ,нет ,бар , "город  Москва ,  Кривоколенный  переулок ,  дом  10 ,  строение  2 " ,45
20418 ,ДИОРАМА  БАР ,нет ,бар , "город  Москва ,  Кутузовский  проспект ,  дом  2/1 ,  корпус  1А " ,3
25950 ,Темпл  бар ,да ,ресторан , "город  Москва ,  Ладожская  улица ,  дом  2/37 " ,94
140611 ,Буфет-бар  Бутербург ,нет ,буфет , "город  Москва ,  Ленинградский  проспект ,  дом  35 " ,20
143289 ,Cure  Bar ,нет ,бар , "город  Москва ,  Ленинградский  проспект ,  дом  66 " ,70
24112 ,кафе  Аэробар  при  Павелецком  вокзале ,нет ,кафе , "город  Москва ,  Павелецкая  площадь ,  дом  1 " ,46
20601 ,ЛЕ  СПА ,нет ,бар , "город  Москва ,  Лесная  улица ,  дом  10-16 " ,12
154321 ,Hudson  Bar ,нет ,бар , "город  Москва ,  Лесная  улица ,  дом  20 ,  строение  1 " ,120
120714 ,Глав  Пив  Маг ,нет ,бар , "город  Москва ,  улица  Макаренко ,  дом  2/21 ,  строение  1 " ,40
146555 ,Beermood ,нет ,бар , "город  Москва ,  улица  Макаренко ,  дом  2/21 ,  строение  1 " ,45
22710 ,Traffic  Jam  Паб ,нет ,бар , "город  Москва ,  улица  Нижняя  Масловка ,  дом  5 ,  корпус  5 " ,75
23923 ,Пикассо  кафе-бар ,нет ,кафе , "город  Москва ,  улица  Миклухо-Маклая ,  дом  15 " ,48
23926 ,Кампус  кафе-бар ,нет ,кафе , "город  Москва ,  улица  Миклухо-Маклая ,  дом  21 ,  корпус  3 " ,48
138708 ,Кальянная  Хука  Хауз ,нет ,бар , "город  Москва ,  проспект  Мира ,  дом  70 " ,20
58901 ,Бар  «Джонни  Грин  Паб» ,нет ,бар , "город  Москва ,  проспект  Мира ,  дом  91 ,  корпус  1 " ,50
20284 ,Бар  «МИР  БИЛЬЯРДА» ,нет ,бар , "город  Москва ,  проспект  Мира ,  дом  91 ,  корпус  3 " ,70
146458 ,Москальян ,нет ,бар , "город  Москва ,  улица  Большая  Молчановка ,  дом  15/12 " ,20
141598 ,Бар«Пивная  Библиотека» ,нет ,бар , "город  Москва ,  Мытная  улица ,  дом  58 " ,40
137544 ,Антикварный  Boutique  &  Bar ,нет ,бар , "город  Москва ,  Звонарский  переулок ,  дом  5 " ,30
69302 ,Union  Jack ,нет ,бар , "город  Москва ,  Нижний  Кисельный  переулок ,  дом  3 ,  строение  1 " ,30
24257 ,Бар  «Брюс» ,нет ,бар , "город  Москва ,  Брюсов  переулок ,  дом  2/14 ,  строение  1 " ,40
22425 ,Кафе-бар  «Каюк  Компания» ,нет ,кафе , "город  Москва ,  Новорязанская  улица ,  дом  2/7 " ,45
111731 ,Марсала ,нет ,бар , "город  Москва ,  Новорязанская  улица ,  дом  38 " ,50
155866 ,Sweet  Smoke ,нет ,бар , "город  Москва ,  улица  Петровка ,  дом  17 ,  строение  3 " ,30
152565 ,Мондриан  бар ,нет ,кафе , "город  Москва ,  улица  Петровка ,  дом  30/7 " ,16
26837 ,БЕРГШТАЙН-бар ,нет ,ресторан , "город  Москва ,  Большая  Пироговская  улица ,  дом  37-43 ,  корпус  А " ,50
26842 ,Салли  о  Брайенс ,нет ,бар , "город  Москва ,  улица  Большая  Полянка ,  дом  1/3 " ,46
22711 ,Кафе  Сказки  Алисы.  Белка  бар ,нет ,кафе , "город  Москва ,  улица  Правды ,  дом  3/1 " ,50
26911 ,Lock  Stock ,нет ,бар , "город  Москва ,  Преображенская  улица ,  дом  2 " ,70
137450 ,Пивной  бар  Парка ,нет ,бар , "город  Москва ,  Пятницкая  улица ,  дом  22 ,  строение  1 " ,45
139871 ,Бар-буфет  Николай ,да ,бар , "город  Москва ,  Пятницкая  улица ,  дом  53/18 ,  строение  1 " ,43
156569 ,Винный  базар  «Корка» ,нет ,бар , "город  Москва ,  Большая  Садовая  улица ,  дом  1 " ,20
158093 ,LAWSON  BAR ,нет ,бар , "город  Москва ,  Садовая-Каретная  улица ,  дом  24/7 " ,9
84312 , "Бельгийская  брассери  0 ,33 " ,нет ,бар , "город  Москва ,  Садовая-Спасская  улица ,  дом  17/2 " ,120
152474 ,Lacky  Ducks  bar ,нет ,бар , "город  Москва ,  Садовая-Спасская  улица ,  дом  19 ,  корпус  2 " ,30
143892 ,Пивной  бар  «Бернес» ,нет ,ресторан , "город  Москва ,  улица  Серпуховский  Вал ,  дом  3 " ,48
25297 ,Спорт-бар  «Допинг» ,нет ,кафе , "город  Москва ,  Сиреневый  бульвар ,  дом  32 " ,50
147447 ,Barbecue  Beer  Bar ,нет ,бар , "город  Москва ,  улица  Сретенка ,  дом  26/1 " ,45
149003 ,I  Like  Craft ,нет ,бар , "город  Москва ,  Сретенский  бульвар ,  дом  7 " ,32
102841 ,Бар  «Wisky  room» ,нет ,бар , "город  Москва ,  Леонтьевский  переулок ,  дом  8 ,  строение  1 " ,26
88908 ,Бирмаркет ,нет ,бар , "город  Москва ,  Страстной  бульвар ,  дом  4 ,  строение  3 " ,20
144338 ,Хукан ,нет ,бар , "город  Москва ,  Страстной  бульвар ,  дом  4 ,  строение  3 " ,48
125271 ,Север ,нет ,бар , "город  Москва ,  Страстной  бульвар ,  дом  4 ,  строение  3 " ,48
115599 ,Крафт  Стейшн ,нет ,бар , "город  Москва ,  Страстной  бульвар ,  дом  4 ,  строение  3 " ,30
151930 ,69  pints ,нет ,бар , "город  Москва ,  Сходненская  улица ,  дом  31 " ,8
139386 ,Паб  Гастро  Моментс ,нет ,бар , "город  Москва ,  Татарская  улица ,  дом  7 ,  строение  1 " ,18
142744 ,Винный  бар  13 ,нет ,бар , "город  Москва ,  4-я  Тверская-Ямская  улица ,  дом  13 " ,36
71703 ,Пиво ,нет ,бар , "город  Москва ,  Туристская  улица ,  дом  1 " ,10
140476 ,Кафе  «Mr.  Ambar» ,нет ,бар , "город  Москва ,  Вишнёвая  улица ,  дом  2/14 " ,20
146370 ,Амбарчик ,нет ,кафе , "город  Москва ,  Малый  Николопесковский  переулок ,  дом  9/1 ,  строение  2 " ,20
20627 ,КАФЕ  БАР-КАРАОКЕ ,нет ,бар , "город  Москва ,  Фрунзенская  набережная ,  дом  14 " ,25
69074 ,Джон  Донн ,нет ,бар , "город  Москва ,  улица  Маросейка ,  дом  15 " ,35
83559 ,Хлеб  и  Вино ,нет ,бар , "город  Москва ,  улица  Маросейка ,  дом  15 " ,54
139914 ,Кафе-бар  Проточный ,нет ,бар , "город  Москва ,  Новинский  бульвар ,  дом  1/2 " ,30
153772 ,Хлеб-мясо  на  углях ,нет ,предприятие  быстрого  обслуживания , "город  Москва ,  Хабаровская  улица ,  дом  12/23 " ,7
27482 ,ГБОУ  Школа  №  1598 ,нет ,столовая , "город  Москва ,  Хабаровская  улица ,  дом  18 ,  корпус  1 " ,230
27475 ,ГБОУ  Школа  №  1598 ,нет ,столовая , "город  Москва ,  Хабаровская  улица ,  дом  18 ,  корпус  2 " ,132
143092 ,19bar  Atmosphere ,нет ,бар , "город  Москва ,  улица  Покровка ,  дом  19 " ,90
22364 ,Фри  бар ,нет ,кафе , "город  Москва ,  улица  Покровка ,  дом  21-23/25 ,  строение  1 " ,55
153662 ,Румор ,нет ,бар , "город  Москва ,  улица  Покровка ,  дом  21-23/25 ,  строение  1 " ,64
24033 ,Диссидент ,нет ,бар , "город  Москва ,  улица  Покровка ,  дом  21-23/25 ,  строение  4 " ,50
155739 ,Veladora.  Tacos  y  Tragos ,нет ,бар , "город  Москва ,  улица  Покровка ,  дом  2/1 ,  строение  1 " ,45
