151635 ,СМЕТАНА ,нет ,кафе , "город  Москва ,  улица  Егора  Абакумова ,  дом  9 " ,48
77874 ,Родник ,нет ,кафе , "город  Москва ,  улица  Талалихина ,  дом  2/1 ,  корпус  1 " ,35
24309 ,Кафе  «Академия» ,нет ,кафе , "город  Москва ,  Абельмановская  улица ,  дом  6 " ,95
21894 ,ПИЦЦЕТОРИЯ ,да ,кафе , "город  Москва ,  Абрамцевская  улица ,  дом  1 " ,40
119365 ,Кафе  «Вишневая  метель» ,нет ,кафе , "город  Москва ,  Абрамцевская  улица ,  дом  9 ,  корпус  1 " ,50
148815 ,Брусника ,да ,кафе , "город  Москва ,  переулок  Сивцев  Вражек ,  дом  6/2 " ,10
23394 ,Гогиели ,нет ,кафе , "город  Москва ,  Авиамоторная  улица ,  дом  49/1 " ,24
22579 ,Алло  Пицца ,да ,кафе , "город  Москва ,  улица  Авиаторов ,  дом  14 " ,32
153644 ,Американская  Лаборатория  Десертов ,нет ,кафе , "город  Москва ,  Филипповский  переулок ,  дом  15/5 " ,20
21950 ,Кафе ,нет ,кафе , "город  Москва ,  Алтайская  улица ,  дом  33/7 " ,30
84832 ,КАФЕ  УЮТ ,нет ,кафе , "город  Москва ,  Алтуфьевское  шоссе ,  дом  14 " ,110
26931 ,Долина  Чайхона ,нет ,кафе , "город  Москва ,  Алтуфьевское  шоссе ,  дом  14 " ,150
125608 ,Кафетерий ,нет ,кафетерий , "город  Москва ,  Алтуфьевское  шоссе ,  дом  56 " ,6
81554 ,Домино'с  Пицца ,да ,кафе , "город  Москва ,  Алтуфьевское  шоссе ,  дом  56 " ,24
22767 ,Мархал ,нет ,кафе , "город  Москва ,  Ангарская  улица ,  дом  1 ,  корпус  2 " ,120
70791 ,Кафе  «Хинкальная» ,нет ,кафе , "город  Москва ,  проспект  Андропова ,  дом  26 " ,45
69243 ,Суши  Wok ,да ,кафе , "город  Москва ,  проспект  Андропова ,  дом  30 " ,4
25711 ,Рыба  &  мясо  на  углях ,нет ,кафе , "город  Москва ,  проспект  Андропова ,  дом  35А " ,45
24968 ,Му-Му ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  4 ,  строение  1 " ,125
127980 ,Хлеб  насущный ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  6/2 " ,20
107496 ,Калифорния  Дайнер ,нет ,кафе , "город  Москва ,  улица  Арбат ,  дом  23 ,  строение  1 " ,150
110269 ,Балалаечная ,нет ,кафе , "город  Москва ,  улица  Арбат ,  дом  23 ,  строение  1 " ,49
74969 ,Пиросмани ,нет ,кафе , "город  Москва ,  улица  Арбат ,  дом  25/36 " ,63
74970 ,ДАНКИН  ДОНАТС ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  25/36 " ,48
74979 ,Вареничная  №1 ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  29 " ,120
21723 ,ШОКОЛАДНИЦА ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  29 " ,40
24973 ,Теремок ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  32 " ,22
21720 ,Хлеб  насущный ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  32 " ,40
140165 ,Мосбург ,нет ,кафе , "город  Москва ,  улица  Арбат ,  дом  36/2 ,  строение  1 " ,30
152754 ,Домашняя  снедь ,нет ,кафе , "город  Москва ,  улица  Арбат ,  дом  36/2 ,  строение  1 " ,56
76932 ,Хинкальная ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  36/2 ,  строение  1 " ,38
21998 ,Му-Му ,да ,кафе , "город  Москва ,  улица  Арбат ,  дом  45/24 " ,220
