Субъект;bbox;Relation
Центральный административный округ;(bbox=37.5139298,55.710271,37.7135246,55.7971397); 364005
Арбат;(bbox=37.5720599,55.7437121,37.6122284,55.758061); 1257484
Басманный район;(bbox=37.6279401,55.7507488,37.7135246,55.7819563); 1257201
Замоскворечье;(bbox=37.6151325,55.7202801,37.6542108,55.7491534); 1255942
Красносельский район;(bbox=37.6283861,55.7597965,37.6888037,55.7929812); 1257218
Мещанский район;(bbox=37.6122228,55.7591203,37.6448957,55.7971397); 364001
Пресненский район;(bbox=37.5139298,55.7443963,37.609757,55.7756393); 1275551
Таганский район;(bbox=37.6321094,55.7257985,37.6997522,55.7547685); 1275608
Тверской район;(bbox=37.5761735,55.7467048,37.635017,55.792578); 1257786
Хамовники;(bbox=37.5411899,55.710271,37.6123162,55.7503457); 1255987
Якиманка;(bbox=37.5776062,55.7110252,37.62644,55.7490432); 1275627
Северный административный округ;(bbox=37.3346308,55.7598149,37.5885764,55.9964332); 162903
Аэропорт;(bbox=37.5110118,55.7854818,37.5746951,55.8156354); 446079
Беговой;(bbox=37.541387,55.7733252,37.5885764,55.793379); 445298
Бескудниковский район;(bbox=37.5296391,55.848492,37.5737156,55.8791462); 446082
Войковский район;(bbox=37.4718343,55.8147637,37.5220067,55.841335); 446078
Восточное Дегунино;(bbox=37.5430448,55.8532388,37.5747615,55.8977748); 445285
Головинский район;(bbox=37.4658978,55.8371094,37.555158,55.8676274); 445297
Дмитровский район;(bbox=37.4963828,55.8727961,37.5530052,55.907225); 445278
Западное Дегунино;(bbox=37.4736801,55.8483532,37.567039,55.8920599); 445275
Коптево;(bbox=37.5049542,55.8126244,37.5606179,55.8483532); 445277
Левобережный;(bbox=37.4369574,55.8480304,37.4968381,55.8838182); 445273
Молжаниновский район;(bbox=37.3346308,55.9079076,37.4737159,55.9964332); 445283
Савёловский район;(bbox=37.5484633,55.7914273,37.5864732,55.8083057); 445281
Сокол;(bbox=37.4867468,55.790952,37.5204392,55.8153321); 445280
Тимирязевский район;(bbox=37.5317687,55.8048982,37.5844772,55.849711); 445276
Ховрино;(bbox=37.4634216,55.8525571,37.5143603,55.8850667); 445274
Хорошёвский район;(bbox=37.5038604,55.7598149,37.5549821,55.8037368); 445299
Северо-Восточный административный округ;(bbox=37.519344,55.782566,37.7350277,55.9568454); 1252558
Алексеевский район;(bbox=37.6349861,55.7893863,37.6704634,55.8332607); 1250526
Алтуфьевский район;(bbox=37.5674072,55.869563,37.6074748,55.8872469); 446083
Бабушкинский район;(bbox=37.6417207,55.8504254,37.6835871,55.8837453); 1252465
Бибирево;(bbox=37.5866655,55.879134,37.6453333,55.9122996); 446085
Бутырский район;(bbox=37.5734353,55.7924152,37.6140106,55.8348598); 1252424
Лианозово;(bbox=37.5370351,55.886101,37.5903032,55.9123326); 446084
Лосиноостровский район;(bbox=37.6751398,55.8615331,37.7197618,55.8950578); 1252448
Марфино;(bbox=37.5737156,55.8171765,37.6036891,55.848492); 1250724
Марьина Роща;(bbox=37.5888905,55.782566,37.6349446,55.8104398); 1252407
Останкинский район;(bbox=37.5804194,55.7969467,37.6497206,55.8592645); 1250619
Отрадное;(bbox=37.5712692,55.8464714,37.6351086,55.8803338); 445282
Ростокино;(bbox=37.6320152,55.8244238,37.6715432,55.8457008); 446272
Свиблово;(bbox=37.6250406,55.8407952,37.6719431,55.8653231); 1250618
Северное Медведково;(bbox=37.6196477,55.8766105,37.6852187,55.8976913); 446086
Северный;(bbox=37.519344,55.9070629,37.576777,55.9568454); 445284
Южное Медведково;(bbox=37.6142216,55.8613697,37.6587241,55.885711); 446087
Ярославский район;(bbox=37.6634656,55.8383181,37.7350277,55.8858976); 446271
Восточный административный округ;(bbox=37.6503146,55.6952235,37.9454389,56.0107461); 1320234
Богородское;(bbox=37.6702104,55.8013234,37.7460136,55.8387396); 1319060
Вешняки;(bbox=37.7674502,55.7098282,37.8425463,55.7489823); 574667
Восточное Измайлово;(bbox=37.7995029,55.7876221,37.842548,55.8036419); 1255704
Восточный;(bbox=37.7873263,55.8053474,37.899187,56.0107461); 1255775
Гольяново;(bbox=37.7460136,55.8014115,37.8441309,55.8565887); 1319142
Ивановское;(bbox=37.7997926,55.7461576,37.8439289,55.790204); 1319263
Измайлово;(bbox=37.7430815,55.7597564,37.805701,55.8028668); 1319245
Косино-Ухтомский;(bbox=37.8360539,55.6952235,37.9454389,55.7325603); 1255576
Метрогородок;(bbox=37.6702104,55.8090346,37.7848893,55.8781899); 1319078
Новогиреево;(bbox=37.7723618,55.7354446,37.8313084,55.7602318); 1298976
Новокосино;(bbox=37.8404157,55.7304867,37.8908998,55.7492452); 1255602
Перово;(bbox=37.7196119,55.734295,37.8086249,55.7679296); 1299013
Преображенское;(bbox=37.6985739,55.7827141,37.7466212,55.8098173); 1299106
Северное Измайлово;(bbox=37.7508971,55.8021117,37.844322,55.8151322); 1255680
Соколиная Гора;(bbox=37.6993199,55.7519793,37.7542156,55.794051); 1299031
Сокольники;(bbox=37.6503146,55.7818236,37.7055691,55.8244238); 364551
Юго-Восточный административный округ;(bbox=37.6607017,55.6230165,37.9644195,55.7753075); 1278703
Выхино-Жулебино;(bbox=37.7872841,55.6745584,37.8647168,55.7220611); 548619
Капотня;(bbox=37.783447,55.6230165,37.841923,55.6584594); 455208
Кузьминки;(bbox=37.7452167,55.6800874,37.8056978,55.7168426); 444812
Лефортово;(bbox=37.6705308,55.7334048,37.7367124,55.7753075); 1278064
Люблино;(bbox=37.7131761,55.6564701,37.8420057,55.6914581); 455203
Марьино;(bbox=37.6929258,55.6394575,37.7880033,55.6688654); 455222
Некрасовка;(bbox=37.9124566,55.6736258,37.9644195,55.696742); 1255577
Нижегородский район;(bbox=37.6804669,55.7197195,37.7674502,55.7459511); 1278046
Печатники;(bbox=37.6715218,55.6438132,37.7348712,55.7234779); 455451
Рязанский район;(bbox=37.7359804,55.7073624,37.7993224,55.734295); 1255563
Текстильщики;(bbox=37.7171817,55.688477,37.7561188,55.7250522); 455184
