Дата;Категории;Регион;Значение
2021-04-01;Текущее значение индекса;Россия;1.07
2021-04-01;Текущее значение индекса;Адыгея;1.09
2021-04-01;Текущее значение индекса;Алтай;1.10
2021-04-01;Текущее значение индекса;Алтайский край;1.08
2021-04-01;Текущее значение индекса;Амурская область;1.11
2021-04-01;Текущее значение индекса;Архангельская область;1.02
2021-04-01;Текущее значение индекса;Астраханская область;1.20
2021-04-01;Текущее значение индекса;Белгородская область;1.06
2021-04-01;Текущее значение индекса;Брянская область;1.06
2021-04-01;Текущее значение индекса;Владимирская область;1.12
2021-04-01;Текущее значение индекса;Волгоградская область;1.05
2021-04-01;Текущее значение индекса;Вологодская область;1.02
2021-04-01;Текущее значение индекса;Воронежская область;1.07
2021-04-01;Текущее значение индекса;Еврейская автономная область;1.07
2021-04-01;Текущее значение индекса;Забайкальский край;1.08
2021-04-01;Текущее значение индекса;Ивановская область;1.05
2021-04-01;Текущее значение индекса;Иркутская область;1.04
2021-04-01;Текущее значение индекса;Кабардино-Балкарская Республика;1.05
2021-04-01;Текущее значение индекса;Калининградская область;1.22
2021-04-01;Текущее значение индекса;Калужская область;1.09
2021-04-01;Текущее значение индекса;Камчатский край;1.09
2021-04-01;Текущее значение индекса;Кемеровская область;1.05
2021-04-01;Текущее значение индекса;Кировская область;1.04
2021-04-01;Текущее значение индекса;Костромская область;1.03
2021-04-01;Текущее значение индекса;Краснодарский край;1.13
2021-04-01;Текущее значение индекса;Красноярский край;1.07
2021-04-01;Текущее значение индекса;Курганская область;1.07
2021-04-01;Текущее значение индекса;Курская область;1.05
2021-04-01;Текущее значение индекса;Ленинградская область;1.12
2021-04-01;Текущее значение индекса;Липецкая область;1.05
2021-04-01;Текущее значение индекса;Магаданская область;1.03
2021-04-01;Текущее значение индекса;Мордовия;1.03
2021-04-01;Текущее значение индекса;Москва;1.07
2021-04-01;Текущее значение индекса;Московская область;1.20
2021-04-01;Текущее значение индекса;Мурманская область;1.06
2021-04-01;Текущее значение индекса;Ненецкий АО;1.00
2021-04-01;Текущее значение индекса;Нижегородская область;1.06
2021-04-01;Текущее значение индекса;Новгородская область;1.03
2021-04-01;Текущее значение индекса;Новосибирская область;1.06
2021-04-01;Текущее значение индекса;Омская область;1.05
2021-04-01;Текущее значение индекса;Оренбургская область;1.02
2021-04-01;Текущее значение индекса;Орловская область;1.04
2021-04-01;Текущее значение индекса;Пензенская область;1.05
2021-04-01;Текущее значение индекса;Пермский край;1.04
2021-04-01;Текущее значение индекса;Приморский край;1.07
2021-04-01;Текущее значение индекса;Псковская область;1.03
2021-04-01;Текущее значение индекса;Республика Башкортостан;1.02
2021-04-01;Текущее значение индекса;Республика Бурятия;1.14
2021-04-01;Текущее значение индекса;Республика Дагестан;1.06
2021-04-01;Текущее значение индекса;Республика Ингушетия;1.05
2021-04-01;Текущее значение индекса;Республика Калмыкия;1.08
2021-04-01;Текущее значение индекса;Республика Карачаево-Черкессия;1.06
2021-04-01;Текущее значение индекса;Республика Карелия;1.06
2021-04-01;Текущее значение индекса;Республика Коми;1.03
2021-04-01;Текущее значение индекса;Республика Марий Эл;1.07
2021-04-01;Текущее значение индекса;Республика Саха (Якутия);1.10
2021-04-01;Текущее значение индекса;Республика Северная Осетия-Алания;1.08
2021-04-01;Текущее значение индекса;Республика Татарстан;1.07
2021-04-01;Текущее значение индекса;Республика Тыва;1.14
2021-04-01;Текущее значение индекса;Республика Хакасия;1.09
2021-04-01;Текущее значение индекса;Ростовская область;1.10
2021-04-01;Текущее значение индекса;Рязанская область;1.06
2021-04-01;Текущее значение индекса;Самарская область;1.07
2021-04-01;Текущее значение индекса;Санкт-Петербург;1.07
2021-04-01;Текущее значение индекса;Саратовская область;1.03
2021-04-01;Текущее значение индекса;Сахалинская область;1.04
2021-04-01;Текущее значение индекса;Свердловская область;1.04
2021-04-01;Текущее значение индекса;Смоленская область;1.03
2021-04-01;Текущее значение индекса;Ставропольский край;1.12
2021-04-01;Текущее значение индекса;Тамбовская область;1.03
2021-04-01;Текущее значение индекса;Тверская область;1.07
2021-04-01;Текущее значение индекса;Томская область;1.05
2021-04-01;Текущее значение индекса;Тульская область;1.06
2021-04-01;Текущее значение индекса;Тюменская область;1.05
2021-04-01;Текущее значение индекса;Удмуртская Республика;1.03
2021-04-01;Текущее значение индекса;Ульяновская область;1.05
2021-04-01;Текущее значение индекса;Хабаровский край;1.04
2021-04-01;Текущее значение индекса;Ханты-Мансийский АО - Югра;1.03
2021-04-01;Текущее значение индекса;Челябинская область;1.04
2021-04-01;Текущее значение индекса;Чеченская Республика;1.10
2021-04-01;Текущее значение индекса;Чувашская Республика;1.05
2021-04-01;Текущее значение индекса;Чукотский АО;1.11
2021-04-01;Текущее значение индекса;Ямало-Ненецкий АО;1.14
2021-04-01;Текущее значение индекса;Ярославская область;1.05
